声かけ,福岡県福津市日薪野５丁目,2022/10/12,福岡県警によると、１２日午後３時１５分ごろ、福津市日薪野５丁目付近の路上で女子児童への声かけが発生しました。（実行者の特徴：男性、２０～３０代、黒色長袖シャツ、ジーパン、マスク）
痴漢,福岡県福岡市中央区清川３丁目,2022/10/12,福岡県警によると、１２日午後１時４０分ごろ、福岡市中央区清川３丁目の路上で女性への痴漢が発生しました。（実行者の特徴：男性、１０代後半～３０代、暗色服装、白色スポーツ自転車）
暴行,福岡県福岡市西区下山門団地,2022/10/12,福岡県警によると、１１日午後３時１０分ごろ、福岡市西区下山門団地付近で児童への暴行が発生しました。（実行者の特徴：中年男性、黒色服装、サングラス、黒色マスク、フードかぶる）
盗撮,福岡県北九州市八幡東区西本町３丁目,2022/10/12,福岡県警によると、１１日午後８時１０分ごろ、北九州市八幡東区西本町３丁目付近の路上で女子高校生への盗撮が発生しました。（実行者の特徴：中年男性、前頭部はげ、白色系長袖、黒色ズボン）
声かけ,福岡県福津市日蒔野２丁目,2022/10/11,福岡県警によると、１１日午後５時３０分ごろ、福津市日蒔野２丁目付近の路上で女子小学生への声かけが発生しました。（実行者の特徴：男性）
声かけ,福岡県志免町桜丘３丁目,2022/10/11,福岡県警によると、１１日午後０時３０分ごろ、志免町桜丘３丁目付近の路上で女子小学生への声かけが発生しました。（実行者の特徴：男性）
つきまとい,福岡県北九州市小倉北区清水２丁目,2022/10/11,福岡県警によると、１１日午前９時ごろ、北九州市小倉北区清水２丁目付近の路上で女性へのつきまといが発生しました。（実行者の特徴：男性、３０代位、小太り、カーキ色パーカー、黒色ズボン）
下半身露出,福岡県北九州市八幡西区永犬丸西町,2022/10/11,福岡県警によると、１０日午後５時ごろ、北九州市八幡西区永犬丸西町付近の路上で女子小学生への下半身露出が発生しました。（実行者の特徴：中年男性、黒色上衣、ジーパン）
ひったくり,福岡県福岡市早良区城西１丁目,2022/10/11,福岡県警によると、１０日午後８時４０分ごろ、福岡市早良区城西１丁目付近の路上で女性へのひったくりが発生しました。（実行者の特徴：黒色ヘルメット、黒色スクーター）
下半身露出,福岡県久留米市御井町,2022/10/11,福岡県警によると、１０日午後１１時１５分ごろ、久留米市御井町の路上で女性への下半身露出が発生しました。（実行者の特徴：男性、２０～３０代、黒色Ｔシャツ、マスク）
つきまとい,福岡県筑紫野市針摺西２丁目,2022/10/9,福岡県警によると、８日午後９時２０分ごろ、筑紫野市針摺西２丁目付近の路上で女性へのつきまといが発生しました。（実行者の特徴：中年男性、白色上衣、黒色または紺色ズボン）
下半身露出,福岡県福岡市早良区干隈５丁目,2022/10/9,福岡県警によると、８日午後１１時５５分ごろ、福岡市早良区干隈５丁目付近の路上で女性への下半身露出が発生しました。（実行者の特徴：男性、３０代位、灰色ロングＴシャツ、黒色ズボン）
露出要求,福岡県久留米市六ツ門町,2022/10/9,福岡県警によると、９日午前１時２４分ごろ、久留米市六ツ門町付近の路上で女性への露出要求が発生しました。（実行者の特徴：中年男性、白色軽自動車）
スカート内盗撮の疑い,福岡県福岡市博多区中洲３丁目,2022/10/9,福岡県警によると、８日午後７時ごろ、福岡市博多区中洲３丁目付近の施設で女性へのスカート内盗撮の疑いが発生しました。（実行者の特徴：男性、２０～３０歳、黒色フード付きジャンパー、黒色ジャージズボン）
下半身露出,福岡県北九州市小倉北区新高田１丁目,2022/10/9,福岡県警によると、９日午前３時３０分ごろ、北九州市小倉北区新高田１丁目付近の路上で女性への下半身露出が発生しました。（実行者の特徴：男性、５０代位、白色ロングＴシャツ）
下半身露出,福岡県中間市中尾,2022/10/8,福岡県警によると、７日午後１０時ごろ、中間市中尾の路上で女性への下半身露出が発生しました。（実行者の特徴：男性、２０代後半位、黒色Ｔシャツ、作業ズボン風、帽子、首に水色タオル巻く）
つきまとい,福岡県福津市宮司２丁目,2022/10/8,福岡県警によると、５日午後５時３０分ごろ、福津市宮司２丁目付近で女子小学生へのつきまといが発生しました。（実行者の特徴：年配男性、紺色系農作業服）
痴漢,福岡県北九州市八幡西区則松４丁目,2022/10/8,福岡県警によると、３日午後０時ごろ、北九州市八幡西区則松４丁目付近の路上で女子高校生への痴漢が発生しました。（実行者の特徴：男性、紫色半袖シャツ、黒色帽子）
下半身露出,福岡県福岡市早良区小田部６丁目,2022/10/7,福岡県警によると、７日午後２時３０分ごろ、福岡市早良区小田部６丁目付近で女性への下半身露出が発生しました。（実行者の特徴：中年男性、小太り、マスク）
声かけ,福岡県中間市星ケ丘,2022/10/7,福岡県警によると、６日午後３時ごろ、中間市星ケ丘付近で女子小学生への声かけが発生しました。（実行者の特徴：年配男性、紫色上衣、黄色帽子、黒色の車）
下半身露出,福岡県福岡市早良区干隈５丁目,2022/10/7,福岡県警によると、５日午後１１時ごろ、福岡市早良区干隈５丁目付近の路上で女性への下半身露出が発生しました。（実行者の特徴：男性、３０歳位、コート、黒色スラックス）
声かけ,福岡県宗像市三郎丸,2022/10/7,福岡県警によると、７日午前９時３０分ごろ、宗像市三郎丸の路上で女子中学生への声かけが発生しました。（実行者の特徴：男性、２０～３０歳、茶髪、黒色半袖）
声かけ,福岡県筑紫野市二日市西１丁目,2022/10/7,福岡県警によると、７日午後０時ごろ、筑紫野市二日市西１丁目付近の路上で中学生への声かけが発生しました。（実行者の特徴：年配男性、スキンヘッド風、銀色自転車）
ひったくり,福岡県福岡市早良区高取２丁目,2022/10/7,福岡県警によると、６日午後１０時３０分ごろ、福岡市早良区高取２丁目付近の路上で女性へのひったくりが発生しました。（実行者の特徴：性別不明、黒色系服装、フルフェイスヘルメット、スクーター）
カバン掴み,福岡県北九州市八幡西区上の原１丁目,2022/10/7,福岡県警によると、６日午後３時３０分ごろ、北九州市八幡西区上の原１丁目付近の路上で女子小学生へのカバン掴みが発生しました。（実行者の特徴：男性、２０～４０歳、黒色服装、サングラス、マスク）
声かけ,福岡県福岡市城南区神松寺１丁目,2022/10/6,福岡県警によると、６日午後５時３０分ごろ、福岡市城南区神松寺１丁目付近で女子小学生への声かけが発生しました。（実行者の特徴：年配男性、白色半袖シャツ、黒色短パン、自転車）
声かけ,福岡県福岡市城南区神松寺２丁目,2022/10/6,福岡県警によると、５日午後５時３０分ごろ、福岡市城南区神松寺２丁目付近で女子小学生への声かけが発生しました。（実行者の特徴：中年男性、灰色上衣、自転車）
つきまとい,福岡県飯塚市筑穂元吉,2022/10/6,福岡県警によると、５日午後４時ごろ、飯塚市筑穂元吉の路上で女子小学生へのつきまといが発生しました。（実行者の特徴：男性、５０代位、青色Ｔシャツ、黒色半ズボン）
つきまとい,福岡県北九州市小倉北区室町１丁目,2022/10/5,福岡県警によると、５日午前１１時３０分ごろ、北九州市小倉北区室町１丁目の施設で女性へのつきまといが発生しました。（実行者の特徴：男性、２０～３０代、黒色Ｔシャツ、ハーフパンツ）
つきまとい,福岡県福岡市中央区桜坂１丁目,2022/10/5,福岡県警によると、５日午後４時ごろ、福岡市中央区桜坂１丁目付近の路上で女子小学生へのつきまといが発生しました。（実行者の特徴：中年男性、自転車）
